Drug Name	Disease Name
FAM protocol	Stomach Neoplasms|Adenosarcoma
Pyrimidines	Breast Neoplasms|Staphylococcal Infections
Homocysteine	Seizures|Poisoning|Neurotoxicity Syndromes
lenvatinib	Neovascularization, Pathologic|Neoplasms, Experimental
Dichlorophen	Parasitic Diseases, Animal
aranidipine	Hypertension
hibifolin	Edema
caffeic acid	Learning Disorders|Melanoma|Edema|Atherosclerosis|Inflammation|Drug-Induced Liver Injury|Brain Injuries|Myocardial Infarction|Memory Disorders|Nerve Degeneration
Oseltamivir	Influenza, Human
Fluorouracil	Hemangioendothelioma|Stomach Diseases|Liver Neoplasms, Experimental|Tongue Neoplasms|Postoperative Complications|Kidney Neoplasms|Leukoencephalopathies|Adenocarcinoma|Intestinal Neoplasms|Neoplasm Metastasis|Keratosis, Actinic|Hematuria|Lung Neoplasms|Stomach Neoplasms|Hepatoblastoma|Gastrointestinal Neoplasms|Duodenal Neoplasms|Breast Neoplasms|Liver Neoplasms|Cicatrix|Uterine Neoplasms|Carcinoma|Carcinoma, Non-Small-Cell Lung|Nasopharyngeal Neoplasms|Laryngeal Neoplasms|Carcinoma, Ehrlich Tumor|Esophageal Neoplasms|Colorectal Neoplasms|Hydronephrosis|Darier Disease|Carcinoma, Renal Cell|Prostatic Neoplasms|Urinary Bladder Neoplasms|Anus Neoplasms|Carcinoma, Squamous Cell|Condylomata Acuminata|Pancreatic Neoplasms|Rectal Neoplasms|Mouth Neoplasms|Uterine Cervical Neoplasms|Glioma|Pelvic Pain|Neoplasms|Vipoma|Carcinoma, Hepatocellular|Ovarian Neoplasms|Colonic Neoplasms|Sigmoid Neoplasms|Parotid Neoplasms|Carcinoid Tumor|Sarcoma 180|Sarcoma|Neoplasms, Experimental|Gallbladder Neoplasms|Head and Neck Neoplasms
MF 268	Amnesia
avitriptan	Migraine Disorders
2-cyano-3,12-dioxooleana-1,9(11)-dien-28-oic acid methyl amide	Nerve Degeneration
hydrochlorothiazide, lisinopril drug combination	Hypertension
Interleukin 1 Receptor Antagonist Protein	Dyskinesia, Drug-Induced|Heart Diseases
guanosine 5'-O-(2-thiodiphosphate)	Hyperalgesia
1-(4-hydroxyiminomethylpyridinium)-3-(carbamoylpyridinium) propane dibromide	Poisoning
5-(dimethylamino)-N-(3,4-dimethyl-5-isoxazolyl)-1-naphthalenesulfonamide	Hypertension
Cetirizine	Seizures|Pruritus|Sneezing|Rhinitis|Hypersensitivity|Malignant Carcinoid Syndrome|Eosinophilia|Rhinitis, Allergic, Perennial|Urticaria|Rhinitis, Allergic, Seasonal
Mefenamic Acid	Polyhydramnios|Seizures|Fever|Lupus Erythematosus, Systemic|Pain|Menorrhagia|Pain, Postoperative|Salpingitis|Glomerulosclerosis, Focal Segmental|Dysmenorrhea|Osteoarthritis, Hip|Osteoarthritis|Proteinuria|Sciatica|Arthritis, Rheumatoid|Migraine Disorders|Intervertebral Disc Displacement
2-hydroxysaclofen	Neurologic Manifestations|Hypotension|Learning Disorders
4-acetylantroquinonol B	Neoplasm Invasiveness|Colorectal Neoplasms|Weight Loss
jinghua weikang	Eructation|Gastritis|Helicobacter Infections|Gastritis, Atrophic|Duodenal Ulcer|Anorexia
tissue plasminogen activator-(staphylococcal A, B fragment) dimer	Intracranial Embolism
3-(4-chlorophenyl)-adamantane-1-carboxylic acid (pyridin-4-ylmethyl)amide	Diabetic Retinopathy|Breast Neoplasms
Anthralin	Psoriasis
2-(4-((dimethylamino)methyl)benzylidene)-5,6-dimethoxy-2,3-dihydroinden-1-one	Learning Disorders|Amnesia
Cholecalciferol	Placenta Diseases|Hypocalcemia|Autoimmune Diseases|Osteomalacia|Rickets|Thyrotoxicosis|Vitamin D Deficiency|Mammary Neoplasms, Experimental|Muscle Cramp|Neural Tube Defects|Prostatic Neoplasms|Inflammation
Leuprolide	Neoplasm Invasiveness|Puberty, Precocious|Prostatic Neoplasms|Myoma|Metrorrhagia|Adenocarcinoma|Leiomyoma|Endometriosis
S 18523	Pain|Inflammation
Paraoxon	Atherosclerosis
BFM-ALL 81 protocol	Precursor Cell Lymphoblastic Leukemia-Lymphoma|Burkitt Lymphoma
Lynestrenol	Uterine Hemorrhage|Endometriosis
Enalapril	Seizures|Substance Withdrawal Syndrome|Acute Kidney Injury|Mitral Valve Insufficiency|Diabetic Nephropathies|Glomerulosclerosis, Focal Segmental|Neointima|Diabetic Angiopathies|Cardiomyopathies|Sclerosis|Inflammation|Hypertension, Renovascular|Ventricular Remodeling|Osteoporosis|Tachycardia|Coronary Artery Disease|Peripheral Vascular Diseases|Fibrosis|Polycythemia|Uremia|Liver Cirrhosis, Experimental|Headache Disorders, Primary|Heart Failure|Cardiomegaly|Atherosclerosis|Peripheral Nervous System Diseases|Cardiovascular Diseases|Polyarteritis Nodosa|Glomerulonephritis, IGA|Endomyocardial Fibrosis|Hypertension, Malignant|Hypertension, Pulmonary|Liver Cirrhosis|Pulmonary Fibrosis|Kidney Failure, Chronic|Nephrosclerosis|Cardiomyopathy, Dilated|Diabetes Mellitus, Type 2|Brain Infarction|Hyperplasia|Glomerulonephritis|Diabetes Mellitus, Experimental|Kidney Diseases|Kidney Diseases, Cystic|Necrosis|Hypertrophy, Left Ventricular|Plaque, Atherosclerotic|Diabetic Neuropathies|Urinary Incontinence|Renal Insufficiency|Ventricular Dysfunction|Myocardial Infarction|Pulmonary Disease, Chronic Obstructive|Obesity|Ureteral Obstruction|Pancreatic Neoplasms|Hypokalemia|Hypertrophy, Right Ventricular|Albuminuria|Edema|Hypercholesterolemia|Neoplasms|Disease Progression|Movement Disorders|Hypertension, Renal|Stroke|Hypertension|Proteinuria|Ventricular Dysfunction, Left|Nephritis|Hyperglycemia|Brain Ischemia|Heart Diseases
SC-203048	Neoplasms
carvedilol	Acute Kidney Injury|Edema, Cardiac|Aortic Valve Insufficiency|Postoperative Complications|Tachycardia, Ventricular|Reperfusion Injury|Hypertrophy, Left Ventricular|Atrial Flutter|Diabetic Angiopathies|Cardiomyopathies|Inflammation|Ventricular Remodeling|Tachycardia|Hyperemia|Myocardial Infarction|Fever|Ventricular Dysfunction, Left|Heart Failure|Cardiomegaly|Ventricular Fibrillation|Fatty Liver, Alcoholic|Myocardial Ischemia|Endomyocardial Fibrosis|Insulin Resistance|Cocaine-Related Disorders|Drug-Related Side Effects and Adverse Reactions|Disease Models, Animal|Hypertension, Pulmonary|Hypertension|Cardiomyopathy, Dilated|Memory Disorders|Rhabdomyolysis|Cardiomyopathy, Hypertrophic|Cardiomyopathy, Alcoholic|Hypotension|Coronary Stenosis|Angina Pectoris|Myocarditis|Atrial Fibrillation|Kidney Diseases|Necrosis|Weight Loss|Acute Coronary Syndrome|No-Reflow Phenomenon|Ventricular Dysfunction|Drug-Induced Liver Injury|Death, Sudden, Cardiac|Renal Insufficiency|Arrhythmias, Cardiac|Autonomic Nervous System Diseases|Kidney Failure, Chronic|Ventricular Dysfunction, Right|Hypertension, Portal|Hypertrophy, Right Ventricular|Albuminuria|Glioma|Heart Diseases|Infarction, Middle Cerebral Artery|Movement Disorders|Hypertension, Renal|Stroke|Cachexia|Proteinuria|Myocardial Reperfusion Injury|Heart Defects, Congenital|Dementia|Heart Arrest
Iridoid Glycosides	Edema|Necrosis|Diarrhea|Weight Loss|Ulcer|Hyperemia
cyclovirobuxine D	Atrial Fibrillation|Arrhythmias, Cardiac
Methicillin	Abscess|Acute Kidney Injury|Fever|Pneumonia, Aspiration|Nephritis, Interstitial|Pneumonia, Staphylococcal|Endocarditis, Bacterial|Bacteremia|Cellulitis|Arthritis, Infectious|Sepsis|Osteomyelitis|Staphylococcal Infections
Belladonna Alkaloids	Duodenal Ulcer|Bradycardia
micafungin	Invasive Pulmonary Aspergillosis|Candidemia|Candidiasis|Pneumonia
Aurothioglucose	Seizures|Arthritis, Rheumatoid
Estrogens	Status Epilepticus|Fetal Death|Neoplasm Metastasis|Nervous System Diseases|Hematuria|Endometrial Neoplasms|Dyskinesia, Drug-Induced|Coronary Artery Disease|Cardiovascular Diseases|Breast Neoplasms|Hypertension, Pulmonary|Myocardial Infarction|Neoplasms, Experimental|Prostatic Neoplasms|Wounds and Injuries|Urinary Bladder Diseases|Hypertrophy, Right Ventricular|Brain Ischemia|Peptic Ulcer|Cerebrovascular Disorders|Disseminated Intravascular Coagulation|Hemorrhage|Bone Diseases, Metabolic|Osteoporosis
tetrandrine	Liver Cirrhosis, Experimental|Leukemia, Myeloid, Acute|Necrosis|Thrombosis|Mitochondrial Diseases|Myocardial Infarction|Anoxia|Ischemia|Pleural Effusion, Malignant|Heart Diseases
Estradiol Congeners	Fetal Death|Disseminated Intravascular Coagulation
AMF protocol	Neoplasm Metastasis|Stomach Neoplasms|Lung Neoplasms|Liver Neoplasms
EDAP regimen	Leukemia, Plasma Cell
COP protocol 2	Lymphoma, Non-Hodgkin|Lymphoma, Follicular|Burkitt Lymphoma
fumagillin	Neoplasm Metastasis|Obesity|Neovascularization, Pathologic
Chlorpromazine	Psychoses, Substance-Induced|Seizures|Adenoviridae Infections|Neoplasms|Substance Withdrawal Syndrome|Cholestasis|Hyperprolactinemia|Chorea|Delirium|Athetosis|Headache|Dyskinesia, Drug-Induced|Pain|Malaria|Neonatal Abstinence Syndrome|Vomiting|Erectile Dysfunction|Movement Disorders|Hallucinations|Mycoplasma Infections|Muscular Diseases|Necrosis|Hyperkinesis|Testicular Diseases|Drug-Induced Liver Injury|Dystonia|Psychomotor Agitation|Serotonin Syndrome|Glioma|Basal Ganglia Diseases|Brain Edema|Puerperal Disorders|Hypertension|Herpes Simplex|Arterial Occlusive Diseases|Migraine Disorders|Sleep Initiation and Maintenance Disorders
Safflower Oil	Ataxia|Arthralgia|Tremor|Migraine Disorders|Myocardial Infarction
dexamisole	Hypothermia
2,2-phenyl-3,3a-dihydro-4-oxo-5-(4-phenylpiperazin-1-yl)methylpyrazolo(1,5-d)(1,2,4)triazine	Pain
prucalopride	Irritable Bowel Syndrome
Ornidazole	Peripheral Nervous System Diseases
Oxygen	Emphysema|Gas Poisoning|Lung Injury|Diabetic Neuropathies|Necrosis|Atherosclerosis|Cluster Headache|Hepatitis|Acute Lung Injury|Breast Neoplasms|Cystitis|Chest Pain|Angioedema|Drug-Induced Liver Injury|Poisoning|Hemorrhage|Hematuria|Respiratory Distress Syndrome, Adult|Respiratory Insufficiency|Dyspnea
YSNSG cyclopeptide	Neovascularization, Pathologic|Melanoma, Experimental
bucillamine	Arthritis, Rheumatoid
ropivacaine	Labor Pain|Intraoperative Complications|Pain|Pain, Postoperative|Tinnitus
Iron	Anemia, Iron-Deficiency|Hyperkinesis|Cholestasis|Parasomnias|Anemia
Ammonium Hydroxide	Tachycardia, Ventricular
N-((3-(aminomethyl)phenyl)methyl)ethanimidamide	Acute Lung Injury|Hemorrhage|Inflammation|Edema
benfluorex	Metabolic Syndrome X
3-hydroxylup-20(29)-ene-27,28-dioic acid dimethyl ester	Neoplasm Invasiveness|Breast Neoplasms
Anticholesteremic Agents	Liver Cirrhosis, Experimental|Coronary Artery Disease
10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one	Leukemia
serpentine (alkaloid)	Catalepsy
1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt	Necrosis|Pulmonary Fibrosis
5-FU-CDDP protocol	Stomach Neoplasms|Carcinoma, Renal Cell|Carcinoma, Hepatocellular|Carcinoma, Squamous Cell|Uterine Cervical Neoplasms|Head and Neck Neoplasms
Nitroglycerin	Reperfusion Injury|Phlebitis|Pre-Eclampsia|Choroid Diseases|Pulmonary Edema|Dysmenorrhea|Thrombophlebitis|Coronary Artery Disease|Ischemia|Headache|Retinal Artery Occlusion|Coronary Occlusion|Pain|Heart Failure|Myocardial Reperfusion Injury|Postoperative Complications|Tachycardia, Ventricular|Intraoperative Complications|Myocardial Ischemia|Breast Neoplasms|Hyperalgesia|Erectile Dysfunction|Coronary Stenosis|Hypertension, Pulmonary|Coronary Disease|Brain Ischemia|Hypotension|Obstetric Labor, Premature|Sphincter of Oddi Dysfunction|Angina Pectoris|Extravasation of Diagnostic and Therapeutic Materials|Amnesia, Transient Global|Pain, Postoperative|Hypertension, Pregnancy-Induced|Acute Coronary Syndrome|Spasm|Chest Pain|Ventricular Dysfunction, Left|Myocardial Infarction|Fissure in Ano|Stomach Ulcer|Hemorrhoids|Coronary Vasospasm|Low Back Pain|Hypothermia|Edema|Blood Loss, Surgical|Gastroesophageal Reflux|Angina, Unstable|Hypertension|Subarachnoid Hemorrhage|Heart Arrest|Dyspnea
Diflunisal	Pain, Postoperative|Osteoarthritis|Amyloid Neuropathies, Familial
Stavudine	AIDS-Related Complex|AIDS Dementia Complex|HIV Infections|HIV Seropositivity|Acquired Immunodeficiency Syndrome|Anemia
1-(methanesulfonamido-1-naphthyloxy)-2-(N-(4-methane sulfonamidophenethyl)-N-acetamido)ethane	Heart Failure
NAD	Wallerian Degeneration|Drug-Induced Liver Injury
711389-S	Atrial Fibrillation|Ventricular Premature Complexes|Arrhythmias, Cardiac
Ketoconazole	Leukorrhea|Postoperative Complications|Urethritis|Histoplasmosis|Hirsutism|Parkinsonian Disorders|Candidiasis, Chronic Mucocutaneous|Candidiasis|Cocaine-Related Disorders|Lung Diseases, Fungal|Cushing Syndrome|Leishmaniasis, Visceral|Mycoses|Onychomycosis|Central Nervous System Infections|Prostatic Neoplasms|Candidiasis, Oral|Tinea Versicolor|Drug-Induced Liver Injury|Lung Injury|Leishmaniasis, Cutaneous|Blastomycosis|Meningitis, Cryptococcal|Dog Diseases
benzarone	Venous Insufficiency
Calcium Compounds	Renal Osteodystrophy
EP 19-088	Movement Disorders
PD 117302	Seizures|Brain Injuries
Pheniramine	Hyperkinesis|Seizures|Substance Withdrawal Syndrome
Chloralose	Hypertension
Calcitriol	Postoperative Complications|Osteomalacia|Encephalomyelitis, Autoimmune, Experimental|Movement Disorders|Familial Hypophosphatemic Rickets|Inflammation|Retinoblastoma|Leukemia, Lymphoid|Leukemia, Promyelocytic, Acute|Phosphorus Metabolism Disorders|Lung Neoplasms|Uremia|Hyperparathyroidism, Secondary|Vitamin D Deficiency|Alopecia|Pseudohypoparathyroidism|Leukemia|Hyperparathyroidism|Breast Neoplasms|Kidney Failure, Chronic|Diabetes Mellitus, Type 1|Anemia|Psoriasis|Colorectal Neoplasms|Hyperplasia|Glomerulonephritis|Reflex Sympathetic Dystrophy|Respiratory Tract Infections|Prostatic Neoplasms|Renal Insufficiency|Multiple Myeloma|Rickets|Carcinoma, Squamous Cell|Pancreatic Neoplasms|Hypocalcemia|Lymphoma|Albuminuria|Glioma|Renal Osteodystrophy|Bone Diseases, Endocrine|Skin Neoplasms|Leukemia, Myeloid, Acute|Hypercalcemia|Calcium Metabolism Disorders|Prostatic Hyperplasia|Osteoporosis, Postmenopausal|Neoplasms, Experimental|Hypoparathyroidism|Head and Neck Neoplasms
antalarmin	Hyperkinesis|Cocaine-Related Disorders
Lobeline	Hyperkinesis|Psychomotor Agitation|Amphetamine-Related Disorders|Cocaine-Related Disorders
perfluorooctanoic acid	Niemann-Pick Disease, Type C|Hyperalgesia|Inflammation|Edema
4-diethoxyphosphorylmethyl-N-(4-bromo-2-cyanophenyl)benzamide	Cachexia
aluminum sulfate	Nerve Degeneration
ponalrestat	Cachexia
CMFP protocol	Breast Neoplasms
futoxide	Carcinogenesis
gallium nitrate	Lymphoma, Non-Hodgkin|Hypercalcemia|Carcinoma, Hepatocellular
Sodium Nitrite	Poisoning
CEA protocol	Hodgkin Disease
ziconotide	Pain, Intractable|Pain
monascin	Hyperinsulinism|Insulin Resistance|Inflammation|Pancreatic Diseases
Paliperidone Palmitate	Hyperkinesis
Imipenem	Enterobacteriaceae Infections|Pneumococcal Infections|Bacillaceae Infections|Meningitis, Bacterial|Corynebacterium Infections|Actinomycosis|Clostridium Infections
eglumetad	Catalepsy|Muscle Rigidity
lithium succinate	Herpes Genitalis|Infarction, Middle Cerebral Artery
creatinol phosphate	Ventricular Fibrillation|Cardiomyopathies
prulifloxacin	Pseudomonas Infections|Escherichia coli Infections
KT 362	Arrhythmias, Cardiac
Ro 61-8048	Dyskinesia, Drug-Induced
alizapride	Gastroesophageal Reflux|Vomiting
acetyl-AAVALLPAVLLALLAP-DEVD-CHO	Nerve Degeneration
Linseed Oil	Breast Neoplasms|Hypertension
Electrolytes	Ventricular Fibrillation
Clorgyline	Hypotension|Muscle Rigidity|Prostatic Neoplasms|Hypokinesia|Tremor|Bradycardia
4-Aminopyridine	Hyperkinesis|Hypotension|Arrhythmias, Cardiac|Multiple Sclerosis|Catalepsy
2-(2'-cyclopentyl-2'-phenyl-2'-hydroxyethoxy)tropane	Seizures|Tremor
Ampicillin	Abscess|Escherichia coli Infections|Endocarditis|Sinusitis|Bacteremia|Meningitis, Haemophilus|Haemophilus Infections|Pain|Endocarditis, Subacute Bacterial|Endocarditis, Bacterial|Meningitis, Bacterial|Gram-Negative Bacterial Infections|Status Asthmaticus|Gram-Positive Bacterial Infections|Cholangitis|Peritonitis|Pneumonia|Dysentery, Bacillary|Duodenal Ulcer|Stomach Ulcer|Crohn Disease|Streptococcal Infections|Salmonella Infections|Sepsis|Proteus Infections|Staphylococcal Infections|Bacterial Infections|Urinary Tract Infections
endomorphin 2	Pain
manganese tetrakis-(ethoxycarbonyl) porphyrin	Reperfusion Injury
lipoxin A4	Pre-Eclampsia|Infarction, Middle Cerebral Artery
Perphenazine	Hyperemesis Gravidarum|Postoperative Nausea and Vomiting|Alzheimer Disease|Vomiting|Movement Disorders|Hallucinations|Dyskinesias|Nausea
geranyl acetate	Nociceptive Pain
Omeprazole	Neoplasm Invasiveness|Stomach Diseases|Gastrointestinal Diseases|Deglutition Disorders|Helicobacter Infections|Postoperative Hemorrhage|Emphysema|Diarrhea|Hernia, Hiatal|Esophagitis|Vomiting|Hiccup|Peptic Ulcer Hemorrhage|Inflammatory Bowel Diseases|Dyspepsia|Abdominal Pain|Necrosis|Chest Pain|Zollinger-Ellison Syndrome|Laryngopharyngeal Reflux|Barrett Esophagus|Duodenal Ulcer|Stomach Ulcer|Peptic Ulcer|Gastritis|Gastrointestinal Hemorrhage|Leishmaniasis, Cutaneous|Gastroesophageal Reflux|Esophagitis, Peptic|Ulcer|Heartburn
glutamyl-Se-methylselenocysteine	Breast Neoplasms
Glycylglycine	Seizures
Ferric Compounds	Anemia, Iron-Deficiency
oxiplatin	Stomach Neoplasms|Colorectal Neoplasms
hirudin HV1	Thrombosis
citronellol	Seizures|Hyperalgesia|Edema
catalase-polyethylene glycol	Hypertension|Drug-Related Side Effects and Adverse Reactions
hydroxycitric acid	Melanoma|Urinary Bladder Neoplasms|Carcinoma, Lewis Lung
climbazole	Dermatitis, Seborrheic|Pruritus|Erythema
2-ethyloestradiol-bis-sulfamate	Neoplasms
N-(2-(7-(cyclohexylmethyl)-1,6-dihydro-2H-indeno(5,4-b)furan-8-yl)ethyl)acetamide	Chronobiology Disorders
beta-funaltrexamine	Morphine Dependence
flavocoxid	Testicular Diseases
Cefoxitin	Weight Loss|Infection|Gonorrhea
Glycyrrhizic Acid	Acute Kidney Injury|Drug-Induced Liver Injury, Chronic|Necrosis|Liver Neoplasms|Hepatitis A|Drug-Induced Liver Injury|Dermatitis, Allergic Contact|Fatty Liver|Kidney Diseases
phytoene	Neoplasms
Antiparkinson Agents	Dyskinesias|Catalepsy|Nerve Degeneration
Brimonidine Tartrate	Optic Nerve Diseases|Seizures|Glaucoma|Enteritis|Eye Hemorrhage|Hypertension|Ocular Hypertension|Ocular Hypotension
icariin	Alzheimer Disease|Edema|Bone Diseases|Learning Disorders|Acute Lung Injury|Erectile Dysfunction|Atrophy|Osteoporosis|Memory Disorders|Brain Ischemia
piperacillin, tazobactam drug combination	Escherichia coli Infections|Streptococcal Infections|Pneumonia, Aspiration|Staphylococcal Infections|Urinary Tract Infections|Bordetella Infections|Clostridium Infections|Corynebacterium Infections|Actinomycosis|Haemophilus Infections
3,6-dihydroxy-7-fluorocholanoic acid	Cholestasis
indioside D	Neoplasms
adenosine-3',5'-cyclic phosphorothioate	Substance Withdrawal Syndrome|Hyperalgesia
rEV576 protein, tick	Miller Fisher Syndrome|Myasthenia Gravis, Autoimmune, Experimental
Coumarins	Neoplasm Invasiveness|Hemorrhage|Thrombosis|Colitis|Intracranial Hemorrhages
Formaldehyde	Pulpitis|Ciliophora Infections|Acute Lung Injury|Cystitis|Urinary Bladder Diseases|Fish Diseases|Hemorrhage|Hematuria|Warts|Periodontitis
valspodar	Leukemia, Myeloid, Acute|Breast Neoplasms|Osteosarcoma|Mammary Neoplasms, Experimental
HLo 7	Poisoning|Neuromuscular Diseases
Fatty Alcohols	Hypercholesterolemia
Phenylephrine	Priapism|Hypotension|Pain|Hypoxia, Brain|Neurologic Manifestations|Brain Edema|Iridocyclitis|Erectile Dysfunction|Sinusitis|Bacteremia|Intraoperative Complications|Hypotension, Orthostatic|Amnesia|Brain Injuries|Vasospasm, Intracranial|Heart Arrest|Anoxia|Ventricular Fibrillation|Tetralogy of Fallot|Brain Ischemia
lavender oil	Seizures
Aripiprazole	Psychoses, Substance-Induced|Dyskinesia, Drug-Induced|Tic Disorders|Menstruation Disturbances|Huntington Disease|Tourette Syndrome|Intellectual Disability|Hyperprolactinemia|Hyperkinesis|Movement Disorders|Amphetamine-Related Disorders|Cocaine-Related Disorders|Obesity|Enuresis|Alcoholism|Galactorrhea
cyclorphan	Cocaine-Related Disorders
Etidocaine	Labor Pain
Camptothecin	Friedreich Ataxia|Huntington Disease|Neoplasms|Colonic Neoplasms|Neoplasms, Experimental|Gliosarcoma|Tauopathies|Leukemia, Lymphoid|Leukoencephalopathy, Progressive Multifocal|Glioma
CVS 1123	Arterial Occlusive Diseases|Thrombosis
romidepsin	Carcinoma, Transitional Cell|Lymphoma, T-Cell, Cutaneous
2-methoxyidazoxan	Hypotension|Catalepsy|Autonomic Nervous System Diseases|Bradycardia
Ketotifen	Seizures|Asthma|Malaria|Edema|Graft vs Host Disease|Cardiomegaly|Sneezing|Hyperalgesia|Hypersensitivity|Rhinitis, Allergic, Seasonal|Tachycardia|Rhinitis, Allergic, Perennial|Urticaria|Colitis
IL13-PE38QQR	Glioma
Calcium Gluconate	Muscular Diseases|Hypotension|Tetany|Neuromuscular Manifestations|Pain, Postoperative|Paralysis|Peripheral Nervous System Diseases|Drug Overdose|Tachycardia, Supraventricular|Bronchopulmonary Dysplasia|Myasthenia Gravis|Atrioventricular Block|Nerve Degeneration|Pulmonary Edema|Ataxia|Torsades de Pointes|Anoxia|Neurotoxicity Syndromes|Long QT Syndrome
Testicular Hormones	Memory Disorders
Cefadroxil	Respiratory Tract Infections|Salpingitis|Fever
Nle(1)-AngIV	Memory Disorders
quadazocine	Heroin Dependence|Cocaine-Related Disorders
beta-Glucans	Drug-Induced Liver Injury
RN 1734	Hemorrhage|Diarrhea|Ulcer
Gonadotropin-Releasing Hormone	Prostatic Neoplasms
linaclotide	Irritable Bowel Syndrome
Venlafaxine Hydrochloride	Substance Withdrawal Syndrome|Neurotoxicity Syndromes|Hypothermia|Neuralgia|Hot Flashes|Atrial Fibrillation|Basal Ganglia Diseases|Migraine Disorders|Hyperkinesis|Paresthesia|Hyperalgesia|Cocaine-Related Disorders|Urinary Retention|Tremor|Tension-Type Headache|Alcoholism|Tobacco Use Disorder
lacidipine	Myocardial Infarction|Atherosclerosis|Hypertension|Hypertrophy, Left Ventricular|Hypertrophy
lipostabil	Alcohol-Related Disorders
CB 1093	Glioma
Iron, Dietary	Osteoporosis, Postmenopausal
dracorhodin	Leukemia, Promyelocytic, Acute|Adenocarcinoma|Melanoma
purpurin	Carcinoma, Transitional Cell|Neoplasms, Experimental
Copper	Thyroid Neoplasms|Diabetic Retinopathy|Hepatolenticular Degeneration|Spinal Cord Diseases|Heart Failure|Cardiomegaly|Peripheral Nervous System Diseases|Salmonella Infections, Animal|Disease Models, Animal|Precancerous Conditions|Pseudomonas Infections|Neoplasms, Experimental|Cardiomyopathy, Hypertrophic|Colorectal Neoplasms|Neurologic Manifestations|Paralysis|Cadmium Poisoning|Hypertrophy|Mercury Poisoning|Growth Disorders|Ventricular Dysfunction|Menkes Kinky Hair Syndrome|Ataxia|Hyperglycemia|Anemia
4-methyl-N1-(3-phenylpropyl)benzene-1,2-diamine	Neoplasm Invasiveness
Triamcinolone Acetonide	Asthma|Edema|Granuloma|Diabetic Retinopathy|Retinal Neovascularization|Choroidal Neovascularization|Rhinitis, Vasomotor|Macular Edema|Uveitis
fepradinol	Diarrhea|Inflammation|Edema
tetrathiomolybdate	Neurologic Manifestations|Mesothelioma|Neoplasms|Weight Loss|Plaque, Atherosclerotic|Cardiomyopathies|Cachexia|Malaria, Falciparum|Hepatolenticular Degeneration|Pulmonary Fibrosis|Neovascularization, Pathologic|Arthritis, Experimental
Granulocyte Colony-Stimulating Factor	Leukemia, Myeloid, Acute|Pancytopenia|Anemia, Aplastic|Neutropenia|Lymphoma, Non-Hodgkin
zomepirac	Low Back Pain|Nephritis, Interstitial|Renal Insufficiency|Bursitis|Nephrotic Syndrome|Coronary Thrombosis|Pain|Headache
Tolterodine Tartrate	Urinary Bladder, Overactive|Urinary Bladder Neck Obstruction|Urinary Incontinence, Urge|Urinary Incontinence
S,S'-1,4-phenylene-bis(1,2-ethanediyl)bis-isothiourea	Esophageal Neoplasms
N-(1-methyl-5-indolyl)-N'-(3-methyl-5-isothiazolyl)urea	Cardiomegaly|Hypertrophy, Left Ventricular
eurystatin B	Amnesia
Ambroxol	Acute Lung Injury|Pneumonia, Aspiration|Pulmonary Fibrosis
eurystatin A	Amnesia
dimiracetam	Amnesia
1-aminocyclopentane-1,2,4-tricarboxylic acid	Catalepsy
Malathion	Lice Infestations
phenanthridone	Acute Lung Injury|Encephalomyelitis, Autoimmune, Experimental
spiro(imidazo-(1,2-a)pyridine-3,2-indan)-2(3H)-one	Learning Disorders
Misoprostol	Abortion, Spontaneous|Stomach Diseases|Pain|Peptic Ulcer|Back Pain|Renal Insufficiency|Acute Kidney Injury|Stomach Ulcer|Renal Artery Obstruction|Osteoarthritis|Urinary Bladder Diseases|Pregnancy, Prolonged|Postpartum Hemorrhage|Arthritis, Rheumatoid|Duodenal Ulcer|Kidney Diseases|Ischemia
jen-san-yaung-jung-tang	Amnesia
4-(4-((2-(4-chlorophenyl)-4,4-dimethylcyclohex-1-en-1-yl)methyl)piperazin-1-yl)-N-((3-nitro-4-((tetrahydro-2H-pyran-4-ylmethyl)amino)phenyl)sulfonyl)-2-(1H-pyrrolo(2,3-b)pyridin-5-yloxy)benzamide	Precursor Cell Lymphoblastic Leukemia-Lymphoma
N-(2-chlorophenylpropyl)-1-(3-methoxyphenyl)ethylamine	Calcinosis|Uremia
DCB-SLE1	Lupus Nephritis|Hematuria|Proteinuria
Sunscreening Agents	Dermatitis
Cilomilast	Asthma|Bronchial Hyperreactivity|Eosinophilia|Inflammation|Dermatitis, Allergic Contact|Respiration Disorders
protein-bound polysaccharide K, Basidiomycetes	Carcinogenesis|Sarcoma, Experimental
