Drug Name	Gene Symbol
1,6-Fructose Diphosphate (Linear Form)	ALDOA|ALDOB
Ethosuximide	CACNA1G
CRA_10950	PRSS1
4-{[(2,6-difluorophenyl)carbonyl]amino}-N-[(3S)-piperidin-3-yl]-1H-pyrazole-3-carboxamide	CDK2
ISOQUINOLINE-5-SULFONIC ACID (2-(2-(4-CHLOROBENZYLOXY)ETHYLAMINO)ETHYL)AMIDE	AKT2|PRKACA|PKIA|GSK3B
Gamma-Glutamyl[S-(2-Iodobenzyl)Cysteinyl]Glycine	PDE9A|GSTM4|PDE5A
Nivolumab	PDCD1
Pyrazole	ADH1C
Biopterin	DHFR|SPR|PTS
Celecoxib	PTGS2|PDPK1
Bufuralol	ADRB1|ADRB2|ADRB3
6-Nitroindazole	NOS2|NOS3
N-METHYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE	PRKACA|PKIA
Cryptenamine	CHRM5|CHRM4|CHRM3|CHRM2|CHRM1
(6R)-2-amino-6-[2-(3'-methoxybiphenyl-3-yl)ethyl]-3,6-dimethyl-5,6-dihydropyrimidin-4(3H)-one	BACE1
Raltitrexed	TYMS|FPGS
Suramin	F2|SIRT5|RYR1|PLA2G2A|FSHR|P2RY2
N-Acetyl-D-Allosamine	CHIT1
4-[3-Methylsulfanylanilino]-6,7-Dimethoxyquinazoline	MAPK14
Tegaserod	HTR4|HTR2A|HTR2C|HTR2B
Carbetocin	OXTR
S-Acetyl-Cysteine	KAT5
Amylamine	PRSS1
Butethal	GRIA2|GRIK2|CHRNA4|GABRA5|GABRA4|GABRA6|GABRA1|GABRA3|GABRA2
Dexmethylphenidate	SLC6A3|SLC6A2|SLC6A4
Adenosine	ADORA1|ADORA2A|ADORA2B
Dabigatran etexilate	F2
4-BROMO-2-FLUORO-N-[(4E)-6-METHOXY-7-[(1-METHYLPIPERIDIN-4-YL)METHOXY]QUINAZOLIN-4(1H)-YLIDENE]ANILINE	RET
Vandetanib	EGFR|TEK|VEGFA|PTK6
NP-50301	ESR1
Plasmin	SERPINE1|PLAU
Meta Vanadate	CKS1B
INCB3284	CCR2
ISOTHIAZOLIDINONE ANALOG	PTPN1
Alpha-Phosphoribosylpyrophosphoric Acid	APRT|HPRT1|UCKL1
3-Phenylpropylamine	PRSS1|PRSS2
4-[5-(2-CARBOXY-1-FORMYL-ETHYLCARBAMOYL)-PYRIDIN-3-YL]-BENZOIC ACID	CASP3
Mestranol	ESR1
THIENO[3,2-B]PYRIDINE-2-SULFONIC ACID [1-(1-AMINO-ISOQUINOLIN-7-YLMETHYL)-2-OXO-PYRROLDIN-3-YL]-AMIDE	F10
Nisoldipine	CACNB2|CACNA2D1|CACNA1C|CACNA1D|CACNA1S
5-[(Z)-(5-CHLORO-2-OXO-1,2-DIHYDRO-3H-INDOL-3-YLIDENE)METHYL]-N-(DIETHYLAMINO)ETHYL]-2,4-DIMETHYL-1H-PYRROLE-3-CARBOXAMIDE	NEK2
Alpha-L-Methyl-Fucose	MBL2
2-(Oxalyl-Amino)-Benzoic Acid	PTPN1
Epirubicin	CHD1|TOP2A
MP470	PDGFRA|RET|KIT|MET|RAD51|FLT3
Etoricoxib	PTGS2
9-(5,5-Difluoro-5-Phosphonopentyl)Guanine	PNP
Beta-D-Glucopyranose Spirohydantoin	PYGM
99mTc-ciprofloxacin	TOP2B
undecan-2-one	ACOT13
MYRISTIC ACID	NCOA1|CALM3|PPP3R1|ECI2|TRAPPC3|GM2A|HNF4A|PKIA|INS|RCVRN|LY96|PVR|PRKACA|ARF6|TLR4|FKBP1A|ABL1|PPP3CA|GUCA1A|ARF1
Bethanechol	CHRM2
(1R)-1-{[(4'-METHOXY-1,1'-BIPHENYL-4-YL)SULFONYL]AMINO}-2-METHYLPROPYLPHOSPHONIC ACID	MMP8
Guanidine-3-Propanol	PRSS3
TERT-BUTYL 4-({[4-(BUT-2-YN-1-YLAMINO)PHENYL]SULFONYL}METHYL)-4-[(HYDROXYAMINO)CARBONYL]PIPERIDINE-1-CARBOXYLATE	MMP13
Adenosine monophosphate	PRKAB2|ADCY1|PRKAB1|ACSS2|ACSS1|ACSL1|PRKAA1|ADK|CREB1|PIM1|PDE4D|PDE4B|PYGL|HINT1|FBP1
(3S)-4-{[4-(BUT-2-YNYLOXY)PHENYL]SULFONYL}-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE	ADAM17
1-Hexadecylsulfonyl Fluoride	PPT1
Astemizole	HRH1|KCNH2
(4s-Trans)-4-(Methylamino)-5,6-Dihydro-6-Methyl-4h-Thieno(2,3-B)Thiopyran-2-Sulfonamide-7,7-Dioxide	CA2
5-ACETAMIDO-5,6-DIHYDRO-4-HYDROXY-6-ISOBUTOXY-4H-PYRAN-2-CARBOXYLIC ACID	NEU2
Gamma-Carboxy-Glutamic Acid	BGLAP|F2|F10
Aceprometazine	HRH1
N,N-DIMETHYL-4-(4-PHENYL-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE	MAPK1
2',3'-Dehydro-2',3'-Deoxy-Thymidine 5'-Diphosphate	NME1
IDN-6556	CASP7|CASP3|CASP1
SLV319	CNR1
DG051	LTA4H
(2S)-2-(1H-indol-3-yl)hexanoic acid	SKP1
Ulapualide A	ACTA1
Uridine 5'-Triphosphate	UCK2
Latanoprost	PTGFR
(2E)-3-(2-OCT-1-YN-1-YLPHENYL)ACRYLIC ACID	ALOX15
1-[4-(AMINOMETHYL)BENZOYL]-5'-FLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLIN]-4'-AMINE	NOS2
4-Iodopyrazole	ADH1C|ADH1B|ADH1A
Tirofiban	ITGA2B|ITGB3
Threonine Derivative	PAM
(2R)-1-[(5,6-DIPHENYL-7H-PYRROLO[2,3-D]PYRIMIDIN-4-YL)AMINO]PROPAN-2-OL	CHEK1
MLN-518	PDGFD|FLT3
6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE	HSP90AA1
Hyoscyamine	CHRM4|CHRM3|CHRM2|CHRM1
Hydroxyacetic Acid	G6PD
CRA_9334	PRSS1
Tesamorelin	GHRHR
3,5,6,8-Tetramethyl-N-Methyl Phenanthrolinium	METAP2
N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide	ESR2
Dextromethorphan	CHRNA4|SLC6A2|NCF1|CYBB|PGRMC1|SLC6A4|CHRNB2|CHRNB4|RAC1|GRIN3A|NCF4|OPRM1|CYBA|OPRD1|CHRNA2|CHRNA3|OPRK1|RAC2|NCF2|SIGMAR1
SP1049C	TOP2A
1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine	SRC|LYN|LCK
S-P-Nitrobenzyloxycarbonylglutathione	GLO1
BUT-3-ENYL-[5-(4-CHLORO-PHENYL)-3,6-DIHYDRO-[1,3,4]THIADIAZIN-2-YLIDENE]-AMINE	MMP8
N-cyclohexyl-3-[3-(trifluoromethyl)phenyl][1,2,4]triazolo[4,3-b]pyridazin-6-amine	PIM1
(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-PROP-1-YN-1-YLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE	DPP4
D-4-Phosphoerythronic Acid	RPIA
N-(2,6-Diflouro-Benzyl)-4-Sulfamoyl-Benzamide	CA2
MACITENTAN	EDNRA|EDNRB
DHA-paclitaxel	BCL2
Eliglustat	UGCG
Zuclopenthixol	ADRA1A|DRD5|DRD2|ADRA2A|DRD1|HTR2A|HRH1
Tolazoline	ADRA1A|ADRA2A|ADRA2B|ADRA2C|HRH2|HRH1
Levocetirizine	HRH1
(2R)-1-[4-({6-[(2,6-DIFLUOROPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)PROPAN-2-OL	CDK2
Cyclohexylformamide	ADH1C|ADH4
1-[4-(PYRIDIN-4-YLOXY)PHENYL]-3-[3-(TRIFLUOROMETHYL)PHENYL]UREA	ABL1
D-Gluconhydroximo-1,5-Lactam	LCT
N~2~-1H-benzimidazol-5-yl-N~4~-(3-cyclopropyl-1H-pyrazol-5-yl)pyrimidine-2,4-diamine	ERN1
AMPA	GRIA2
(3aS)-3a-hydroxy-1-phenyl-1,2,3,3a-tetrahydro-4H-pyrrolo[2,3-b]quinolin-4-one	MYH14
Mafenide	CA6
RALOXIFENE CORE	NCOA2|ESR1
Crofelemer	CFTR|ANO1
1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid	ANXA5|HS3ST3A1|FGF2
Beta(2-Thienyl)Alanine	PAH
5-(1,4-DIAZEPAN-1-SULFONYL)ISOQUINOLINE	PRKACA|ROCK1|ROCK2|PKIA
O-Phosphoethanolamine	PRKCB
(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	AKT2|PRKACA|PKIA|GSK3B
Rufinamide	GRM5
N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-L-ISOLEUCYL-L-ALANINE	CTSB
N-[(1R)-3-(4-HYDROXYPHENYL)-1-METHYLPROPYL]-2-(2-PHENYL-1H-INDOL-3-YL)ACETAMIDE	ESR1
12-Phenylheme	HMOX1
Perampanel	GRIA1
Hyaluronidase (Human Recombinant)	TGFB1
N-Cyclohexyl-N'-(Propyl)Phenyl Urea	EPHX2
(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-yl sulfamate	CA2
Propiomazine	ADRA1A|ADRA1B|ADRA1D|DRD2|CHRM5|CHRM4|CHRM3|CHRM2|CHRM1|DRD1|HTR2A|HTR2C|HRH1|DRD4
Bevacizumab	FCGR2B|FCGR3A|C1QC|C1QB|C1QA|FCGR3B|VEGFA|FCGR1A|C1R|FCGR2A
3-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}propane-1-thiol	ADAM17
5-[5,6-BIS(METHYLOXY)-1H-BENZIMIDAZOL-1-YL]-3-{[1-(2-CHLOROPHENYL)ETHYL]OXY}-2-THIOPHENECARBOXAMIDE	CDK2|CCNA2
Flutamide	AHR|AR
Carbimazole	TPO
N,N'-[biphenyl-4,4'-diyldi(2R)propane-2,1-diyl]dimethanesulfonamide	GRIA2
CRA_10656	PRSS1
N-[(2R,3S)-3-AMINO-2-HYDROXY-4-PHENYLBUTYL]-4-METHOXY-2,3,6-TRIMETHYLBENZENESULFONAMIDE	F2
4-CHLORO-6-(4-PIPERAZIN-1-YL-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL	HSP90AA1
Naloxegol	OPRM1
Delta1-dihydrotestosterone	AR
M-Cresol	INS
(R)-3-BROMO-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE	AR
1,2-Propanediol	F13A1
HuMax-EGFr	EGFR
Cabazitaxel	TUBA4A|TUBB1
MDX-018	IL8
2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid	C1S
4-(Aminosulfonyl)-N-[(4-Fluorophenyl)Methyl]-Benzamide	CA2
CYT007-TNFQb	TNF
Toremifene	ESR1
Hexafluronium	BCHE
3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid Dimethylamide	PTPN1
N-Pyridoxyl-Glycine-5-Monophosphate	ODC1|SHMT1
PG-530742	MMP9
Pranlukast	RNASE3|MUC2|IL5|TNF|NFKB1|CYSLTR1
5-(2-chlorophenyl)-1,3,4-thiadiazole-2-sulfonamide	CA2
1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-phenylurea	SRC
Metolazone	SLC12A3
2-amino-4-[2,4-dichloro-5-(2-pyrrolidin-1-ylethoxy)phenyl]-N-ethylthieno[2,3-d]pyrimidine-6-carboxamide	HSP90AA1
CTS-21166	BACE1
Hexylcaine	SCN5A
2-methyl-3,5,7,8-tetrahydro-4H-thiopyrano[4,3-d]pyrimidin-4-one	PARP3
RPR128515	PRSS1
6-CYCLOHEXYLMETHOXY-2-(3'-CHLOROANILINO) PURINE	CDK2|CCNA2
Elotuzumab	SLAMF7
5-[(3R)-3-(5-methoxy-3',5'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine	DHFR
Ambrisentan	EDNRA|EDNRB
4-(5,11-DIOXO-5H-INDENO[1,2-C]ISOQUINOLIN-6(11H)-YL)BUTANOATE	TOP1
Dansylamide	CA2
Oxaloacetate Ion	CS|SPR
(3R,4S)-1-(3,4-DIMETHOXYPHENYL)-3-(3-METHYLPHENYL)PIPERIDIN-4-AMINE	DPP4
LAX-101	PLD1|CASP1
IDD552	AKR1B1
Sertindole	ADRA1A|ADRA1B|ADRA1D|KCNH2|DRD2|HTR6|HTR2A|HTR2C
Risedronate	FDPS
L-2-Amino-4-Methoxy-Cis-but-3-Enoic Acid	MAT1A
S-3-(4-FLUOROPHENOXY)-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE	AR
Cyclohexanol	ADH1B
3-[1-(3-AMINOPROPYL)-1H-INDOL-3-YL]-4-(1H-INDOL-3-YL)-1H-PYRROLE-2,5-DIONE	PDPK1
XP13512	CACNA2D2|CACNA2D1
K-252a	MET|MAP2K1
2-{4-[(3,5-DIMETHYLANILINO)-CARBONYL-METHYL]-PHENOXY}-2-METHYLPROPIONIC ACID	HBA2|HBB
Daunorubicin	TOP2B|TOP2A
Chloramphenicol	CD55
Ibutilide	KCNJ11|KCNH2|CACNB1|CACNA1C|KCNK1|CACNG1|CACNA2D1
(6E,11E)-HEPTADECA-6,11-DIENE-9,9-DIYLBIS(PHOSPHONIC ACID)	GGPS1
Hydrocodone	OPRM1|OPRD1
OLOMOUCINE II	CDK2
4-[(4-Imidazo[1,2-a]Pyridin-3-Ylpyrimidin-2-Yl)Amino]Benzenesulfonamide	CDK2
Ancrod	FGA
5-CHLORO-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}-1-BENZOTHIOPHENE-2-SULFONAMIDE	F10
2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline	DHFR
AN2728	PDE4A|PDE4B|PDE4C|PDE4D
1-(adamantan-1-yl)-2-(1H-imidazol-1-yl)ethanone	HMOX1
(2s,4r)-1-Acetyl-N-[(1s)-4-[(Aminoiminomethyl)Amino]-1-(2-Benzothiazolylcarbonyl)Butyl]-4-Hydroxy-2-Pyrrolidinecarboxamide	PRSS1
Dezocine	OPRK1|OPRM1
6,6-DIMETHYL-1-[3-(2,4,5-TRICHLOROPHENOXY)PROPOXY]-1,6-DIHYDRO-1,3,5-TRIAZINE-2,4-DIAMINE	TYMS
Phenylalanylmethane	CMA1
Ghavamiol	MAN2A1
4-amino-N-[4-(benzyloxy)phenyl]butanamide	LTA4H
[4-({5-(AMINOCARBONYL)-4-[(3-METHYLPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENYL]ACETIC ACID	INSR|MAPK1|IRS1
(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclopentylpropanoyl)pyrrolidine-2-carboxamide	PRSS1|F2
Immucillin-G	PNP
(1S,2R,5S)-5-[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]-2-(2,4,5-TRIFLUOROPHENYL)CYCLOHEXANAMINE	DPP4
(5S)-5-(2-amino-2-oxoethyl)-4-oxo-N-[(3-oxo-3,4-dihydro-2H-1,4-benzoxazin-6-yl)methyl]-3,4,5,6,7,8-hexahydro[1]benzothieno[2,3-d]pyrimidine-2-carboxamide	MMP8
Alpha-Benzyl-Aminobenzyl-Phosphonic Acid	ACPP
Fenfluramine	SLC6A4|HTR2C|HTR2B
AC-(D)PHE-PRO-BOROHOMOORNITHINE-OH	F2
N7-Methyl-Guanosine-5'-Monophosphate	DCPS
Beta-Cyclohexyl-Alanine	ZFY
Aminoguanidine	NOS2
5-[3-(2,5-dimethoxyphenyl)prop-1-yn-1-yl]-6-ethylpyrimidine-2,4-diamine	DHFR
Flavin adenine dinucleotide	GSR|CYB5R3|CYB5R1|NQO2|NQO1|ACADS|FDXR|ACADM|GCDH|GFER|DPYD|DAO|POR|XDH|ERO1LB|TXNRD1|NOS1|DLD|IVD|ACAD8|ACOX1|MAOB|MAOA|AIFM1
Cytidine-3'-Monophosphate	RNASE1
Dihydroxyaluminium	VDAC3|VDAC2|VDAC1|TNNC1
Valrubicin	TOP2A
Huperzine A	ACHE
Bisoprolol	ADRB1|ADRB2
Huperzine B	ACHE
Leflunomide	AHR|DHODH|PTK2B
Methyl Nonanoate (Ester)	LCN2
Dehydroepiandrosterone	GABRG3|GABRG2|GABRG1|GABRA5|GABRA4|GABRA6|GABRA1|GABRA3|GABRA2|GRIN2B|GRIN2C|GRIN3A|GRIN3B|HSD17B1|GRIN1|SULT2A1|GRIN2D|PPARA|GABRB1|GABRB2|GABRB3|ESR2|ESR1|GABRQ|GABRP|NR1I3|NR1I2|GRIN2A|SULT2B1|GABRE|GABRD|SIGMAR1
Ouabain	ATP1A1
Cytidine-5'-Monophosphate-5-N-Acetylneuraminic Acid	CMAS
N-(8,9,10-Trihydroxy-7-Hydroxymethyl-2,4-Dioxo-6-Oxa-1,3-Diaza-Spiro[4.5]Dec-3-Yl-Acetamide	PYGM
ABT-510	HGF|VEGFA|FGF2|IL8
3,7-BIS(DIMETHYLAMINO)PHENOTHIAZIN-5-IUM	ACHE
TD-5108	HTR4
Nitric Oxide	GUCY1A2
Pregnenolone	SULT2B1
4-[(E)-(3,5-DIAMINO-1H-PYRAZOL-4-YL)DIAZENYL]PHENOL	CDK2
Eritoran	TLR4
Clotrimazole	KCNN4
Amiloride	SLC9A1|ASIC1|PLAU|ASIC2|SCNN1G|SCNN1D|SCNN1B|SCNN1A
Metharbital	GABRB3|GRIA2|GABRG2|GRIK2|GABRQ|GABRD|GABRP|CHRNA4|GABRE|GABRG3|GABRB1|GABRA5|GABRA4|GABRB2|GABRA6|GABRA1|GABRG1|GABRA3|GABRA2
Paclitaxel	MAPT|TUBB1|MAP2|NR1I2|MAP4|BCL2
5-[3-(2-METHOXYPHENYL)-1H-PYRROLO[2,3-B]PYRIDIN-5-YL]-N,N-DIMETHYLPYRIDINE-3-CARBOXAMIDE	ABL1
1-3 Sugar Ring of Pentamannosyl 6-Phosphate	M6PR
Losartan	AGTR1
10-CF3C(OH)2-DDACTHF	GART
7,9-Dihydro-1h-Purine-2,6,8(3h)-Trione	PYGL
(3r)-1-Acetyl-3-Methylpiperidine	PPIA
FR233623	ADA
Diisopropylphosphono Group	CFB|DPP4
Estriol	ESR2|ESR1
3-[(1s)-1-(Dimethylamino)Ethyl]Phenol	ACHE
Swainsonine	MAN2A1
Clonidine	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C
Mdl 101,146	ELANE
4-Methylimidazole	CA2|CA5A|MB
Zimelidine	MAOB|MAOA|SLC6A4
N~6~-cyclohexyl-N~2~-(4-morpholin-4-ylphenyl)-9H-purine-2,6-diamine	INCENP|AURKB
D-phenylalanyl-N-[(1S)-4-{[amino(iminio)methyl]amino}-1-(chloroacetyl)butyl]-L-prolinamide	F2
(2R)-2-(4-CHLOROPHENYL)-2-[4-(1H-PYRAZOL-4-YL)PHENYL]ETHANAMINE	PRKACA|PKIA
Telmisartan	PPARG|AGTR1
4-[(1S)-1-(3-fluoro-4-methoxyphenyl)-2-(2-methoxy-5-nitrophenyl)ethyl]-1H-imidazol-2-amine	BACE1
17-METHYL-17-ALPHA-DIHYDROEQUILENIN	NCOA2|ESR1
Insulin Glargine	INSR|IGF1R
Homatropine Methylbromide	CHRM5|CHRM4|CHRM3|CHRM2|CHRM1
TP-508	FGF4
SLV 306	MME
Digoxin	ATP1A1
Cevimeline	CHRM3|CHRM1
L-Tryptophan	WARS2|WARS
N,N-DIMETHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE	CYP2A6
Bromopride	DRD2
MLN0415	IKBKB
4-[3-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL]PYRIDINE	MAPK14
2-Pyridinethiol	CTSB
Cardiolipin	SLC25A4
Pirbuterol	ADRB1|ADRB2
Zoledronate	FDPS|GGPS1
Nitrosoethane	MB
ATG003	CHRNA9|CHRNA10
N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)Isopipecolinic Acid Methyl Ester	PRSS1
N-1,2,3,4-Tetrahydronaphth-1-Yl-2'-[3,5-Dimethoxybenzamido]-2'-Deoxy-Adenosine	GAPDHS
Tranylcypromine	MAOB|MAOA
Beta-Mercaptoethanol	SERPINA1|LGALS1|SCMH1|PNPO|GLO1
G418	ODC1
4-Sulfonamide-[1-(4-Aminobutane)]Benzamide	CA2
4-(4-FLUOROPHENYL)-1-CYCLOROPROPYLMETHYL-5-(4-PYRIDYL)-IMIDAZOLE	MAPK14
Oxaprozin	PTGS2|PTGS1
2-AMINO-1-METHYL-6-PHENYLIMIDAZO[4,5-B]PYRIDINE	NCOA2|ESR1
N-Sulfo-Flavin Mononucleotide	HAO1
Diphenylpyraline	SLC6A3|HRH1
(2S)-N-(4-cyano-3-iodophenyl)-3-(4-cyanophenoxy)-2-hydroxy-2-methylpropanamide	AR
Paramethadione	CACNA1I
PHENYLAMINOIMIDAZO(1,2-ALPHA)PYRIDINE	CDK2
Allopurinol	XDH
2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid	PPP2CA|PPP2R1A|PPP1CA|PPP2R2A|PPP2R5C
ABT-869	CSF1R|KIT|FLT4|FLT3|KDR|FLT1
4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	AKT2|PRKACA|PKIA|GSK3B
CRA_1801	PRSS1
4-[3-(dibenzylamino)phenyl]-2,4-dioxobutanoic acid	PTPN1
6-[BIS(2,2,2-TRIFLUOROETHYL)AMINO]-4-(TRIFLUOROMETHYL)QUINOLIN-2(1H)-ONE	AR
GPI-1485	FKBP1A
Arformoterol	ADRB2
Vatalanib	FLT4|KDR|FLT1
Insulin Regular	LRP2|SYTL4|IGF1R|PCSK1|CTSD|CPE|RB1|INSR|IGFBP7|NOV|IDE
Acetylcysteine	GRIN3A|GSS|IKBKB|SLC7A11|CHUK|GRIN2B|GRIN2A|GRIN2D|GRIN1|ACY1
Droxidopa	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH
(2S)-2-(4-chlorophenoxy)-3-phenylpropanoic acid	PPARG
Vorapaxar	F2R
Doxacurium chloride	CHRM2|CHRNA2
N-Formylpiperidine	ADH1C
5'-{[4-(aminooxy)butyl](methyl)amino}-5'-deoxy-8-ethenyladenosine	AMD1
(2S)-2-(1H-indol-3-yl)pentanoic acid	SKP1
Alpha-Fluoro-Carboxymethyldethia Coenzyme a Complex	CS
Secobarbital	GRIN2B|GRIA2|GRIK2|CHRNA4|GRIN2C|GRIN3A|GRIN2A|GRIN3B|GRIN2D|GABRA5|GABRA4|GRIN1|GABRA6|GABRA1|GABRA3|GABRA2
P1-(Adenosine-5'-P5-(Uridine-5')Pentaphosphate	CMPK1
Arecoline	CHRM1
D-2-Amino-3-Phosphono-Propionic Acid	PSPH
KB2115	THRB|THRA
4-{4-[4-(3-AMINOPROPOXY)PHENYL]-1H-PYRAZOL-5-YL}-6-CHLOROBENZENE-1,3-DIOL	HSP90AB1
Methylscopolamine bromide	CHRM3|CHRM2|CHRM1
Epoetin Zeta	EPOR
2-Thiomethyl-3-Phenylpropanoic Acid	MMP8
4-(2,5-Dichloro-Thiophen-3-Yl)-Pyrimidin-2-Ylamine	CDK2
3-fluoro-N-1H-indol-5-yl-5-morpholin-4-ylbenzamide	MAPK14
3-Hydroxymethyl-5-Aziridinyl-1methyl-2-[1h-Indole-4,7-Dione]-Propanol	NQO1
2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid	PTPN1
N-{3-[(5-chloro-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]-2,4-difluorophenyl}propane-1-sulfonamide	BRAF
5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-CARBONITRILE	NCOA1|ESR2
Etidronic acid	ATP6V1A|PTPRS
AL7099A	CA2
Barbital	GRIA2|GRIK2|CHRNA4|GABRA5|GABRA4|GABRA6|GABRA1|GABRA3|GABRA2
1-(CYCLOHEXYLAMINO)-3-(6-METHYL-3,4-DIHYDRO-1H-CARBAZOL-9(2H)-YL)PROPAN-2-OL	NMT2
2-(4-{(3S,5S)-5-[(3,3-difluoropyrrolidin-1-yl)carbonyl]pyrrolidin-3-yl}piperazin-1-yl)pyrimidine	DPP4
C1-INH	SERPING1
(5R)-2-[(2-fluorophenyl)amino]-5-(1-methylethyl)-1,3-thiazol-4(5H)-one	HSD11B1
Tolrestat	AKR1B10|AKR1B1|AKR1A1
TBC-3711	EDN1
{5-(5-AMINO-1H-PYRROLO[3,2-B]PYRIDIN-2-YL)-6-HYDROXY-3'-NITRO-BIPHENYL-3-YL]-ACETIC ACID	F3|F7
Fluocinonide	SMO|NR3C1
Gluconolactone	LCT
Primaquine	KRT7|NQO2
(3R)-8-(dioxidosulfanyl)-3-methyl-1,2,3,4-tetrahydroquinoline	F2
3-amino-5-phenylpentane	CTSK|CTSV
Indapamide	KCNE1|KCNQ1
PN0621	TNF
Benzatropine	SLC6A3|CHRM1|HRH1
TAK-475	FDFT1|HMGCR
R048-8071	LSS
Benzonatate	SCN5A
Ethylmorphine	OPRM1
2,6-Diamino-Hexanoic Acid Amide	ADCYAP1
Agmatine	KCNJ1|NISCH|ASIC3|ADRA2C|CHRNA1|GRIN1|CACNA1B
CRA_9678	PRSS1
Epothilone B	TUBA3C|TUBA8|TUBA1C|TUBA1B|TUBA1A|TUBB|TUBB1|TUBB3|TUBB4B|TUBA4A|TUBB4A
N-hydroxy-4-({4-[4-(trifluoromethyl)phenoxy]phenyl}sulfonyl)tetrahydro-2H-pyran-4-carboxamide	ADAMTS5
SB939	HDAC1|HDAC3|HDAC2|HDAC6
Phenoxybenzamine	ADRA1A|ADRA1B|CALM3|ADRA2A|ADRA2B|ADRA2C|ADRB2|ADRA1D
Ticlopidine	P2RY12
99mTc-14 F7 Mab	ST3GAL5
N-Acetyl-N'-Beta-D-Glucopyranosyl Urea	PYGM
Phenolphthalein	UGT1A9
N-ETHYL-N-ISOPROPYL-3-METHYL-5-{[(2S)-2-(PYRIDIN-4-YLAMINO)PROPYL]OXY}BENZAMIDE	F2
Hydroflumethiazide	CA9|CA2|CA1|KCNMA1|CA4|ATP1A1|CA12
N-(3-Phenyl-2-Sulfanylpropanoyl)Phenylalanylalanine	MME
(S)-Des-Me-Ampa	GRIA2
[N-(3-DIBENZYLCARBAMOYL-OXIRANECARBONYL)-HYDRAZINO]-ACETIC ACID	CASP3
N-(3-chlorobenzyl)-1-(4-methylpentanoyl)-L-prolinamide	F2
CA4P	TUBB
Benzoic Acid	HRSP12|RAB9A|PRDX5|DAO
RU84687	SRC
Propanoic Acid	GPHN
Albiglutide	GLP1R
